Architecture Style,PE,SC,MN,A,SE,US,PO,O,,
Monolithic,3,1,1,2,2,2,1,2,,
Client server,2,2,2,2,2,3,2,2,,
Microservices,2,3,3,3,2,2,3,1,,
Service Oriented (SOA),2,3,3,3,2,2,3,2,,
Event-Driven/ Messaging,3,3,3,3,2,2,2,2,,
Microkernal (plug-in),1,2,3,2,2,2,3,3,,
Component Based,2,2,3,2,2,2,3,3,,
Pipe and- Filter,2,2,2,1,1,1,2,2,,
Broker (middleware),2,3,2,3,2,1,2,2,,
Peer to Peer (P2P),2,3,1,3,1,1,1,1,,
BlackBoard (Shared-Space),1,1,1,1,1,1,1,1,,
MVC (model-view-controller),2,1,3,2,2,3,2,3,,
Space Based ,2,3,2,3,1,1,2,2,,
REST/ resource-oriented,2,3,3,2,2,3,3,2,,
Hexagonal (ports& adapters),2,2,3,2,3,3,3,3,,
Serverless/FaaS,3,3,3,3,2,2,3,1,,
Event-Bus/Event Broker,2,3,3,3,2,2,2,2,,
